NAME,pop,tract_fire_counts,geoid
"Census Tract 8, Tulare County, California",7851,15168,06107000800
"Census Tract 8, Fresno County, California",1254,15168,06019000800
"Census Tract 8, Inyo County, California",2929,15168,06027000800
"Census Tract 108, San Francisco County, California",4860,156,06075010800
"Census Tract 108, Yolo County, California",3365,156,06113010800
"Census Tract 108, Humboldt County, California",4583,156,06023010800
"Census Tract 108, San Diego County, California",2784,156,06073010800
"Census Tract 108, Imperial County, California",1202,156,06025010800
"Census Tract 402, San Francisco County, California",5541,1162,06075040200
"Census Tract 402, Yuba County, California",7954,1162,06115040200
"Census Tract 402, Lassen County, California",2676,1162,06035040200
"Census Tract 3400.02, Contra Costa County, California",7595,2,06013340002
"Census Tract 3560.01, Contra Costa County, California",4480,556,06013356001
"Census Tract 3010, Contra Costa County, California",4782,89,06013301000
"Census Tract 3010, Los Angeles County, California",5166,89,06037301000
"Census Tract 3100, Contra Costa County, California",6078,1,06013310000
"Census Tract 3131.02, Contra Costa County, California",4310,1,06013313102
"Census Tract 3592.03, Contra Costa County, California",7304,1,06013359203
"Census Tract 3050, Contra Costa County, California",6106,3,06013305000
"Census Tract 3120, Contra Costa County, California",2352,2,06013312000
"Census Tract 3141.04, Contra Costa County, California",9047,2,06013314104
"Census Tract 3150, Contra Costa County, California",3762,1325,06013315000
"Census Tract 3200.01, Contra Costa County, California",3843,2207,06013320001
"Census Tract 3080.01, Contra Costa County, California",7534,3,06013308001
"Census Tract 3142, Contra Costa County, California",7323,2,06013314200
"Census Tract 80.10, Sacramento County, California",5007,2,06067008010
"Census Tract 70.04, Sacramento County, California",7814,31,06067007004
"Census Tract 70.04, Fresno County, California",5511,31,06019007004
"Census Tract 70.07, Sacramento County, California",5722,1,06067007007
"Census Tract 84.02, Sacramento County, California",5394,152,06067008402
"Census Tract 84.02, Ventura County, California",5654,152,06111008402
"Census Tract 84.02, Fresno County, California",1165,152,06019008402
"Census Tract 84.02, San Bernardino County, California",6916,152,06071008402
"Census Tract 6134, San Mateo County, California",3137,3,06081613400
"Census Tract 6137, San Mateo County, California",9041,1,06081613700
"Census Tract 4063, Alameda County, California",4425,1,06001406300
"Census Tract 4063, Los Angeles County, California",5842,1,06037406300
"Census Tract 4001, Alameda County, California",3115,2,06001400100
"Census Tract 4010, Alameda County, California",6024,2,06001401000
"Census Tract 146.02, San Diego County, California",5471,1,06073014602
"Census Tract 1, San Diego County, California",3250,16912,06073000100
"Census Tract 1, Modoc County, California",3507,16912,06049000100
"Census Tract 1, Lake County, California",3373,16912,06033000100
"Census Tract 1, Humboldt County, California",4099,16912,06023000100
"Census Tract 1, Siskiyou County, California",1127,16912,06093000100
"Census Tract 1, Ventura County, California",560,16912,06111000100
"Census Tract 1, San Joaquin County, California",4055,16912,06077000100
"Census Tract 1, Colusa County, California",5410,16912,06011000100
"Census Tract 1, Sacramento County, California",3815,16912,06067000100
"Census Tract 1, San Benito County, California",4903,16912,06069000100
"Census Tract 1, Tehama County, California",4685,16912,06103000100
"Census Tract 1, Kings County, California",3000,16912,06031000100
"Census Tract 1, Plumas County, California",5803,16912,06063000100
"Census Tract 1, Fresno County, California",3413,16912,06019000100
"Census Tract 1, Inyo County, California",2869,16912,06027000100
"Census Tract 1, Tulare County, California",4715,16912,06107000100
"Census Tract 6, San Diego County, California",3446,1064,06073000600
"Census Tract 6, Santa Barbara County, California",5168,1064,06083000600
"Census Tract 6, Lake County, California",4042,1064,06033000600
"Census Tract 6, Humboldt County, California",4681,1064,06023000600
"Census Tract 6, Siskiyou County, California",1815,1064,06093000600
"Census Tract 6, Ventura County, California",5976,1064,06111000600
"Census Tract 6, Monterey County, California",7376,1064,06053000600
"Census Tract 6, Sacramento County, California",1131,1064,06067000600
"Census Tract 6, San Benito County, California",9262,1064,06069000600
"Census Tract 6, Tehama County, California",5297,1064,06103000600
"Census Tract 6, Kern County, California",7182,1064,06029000600
"Census Tract 6, Nevada County, California",6781,1064,06057000600
"Census Tract 6, Tulare County, California",7068,1064,06107000600
"Census Tract 6, San Joaquin County, California",1808,1064,06077000600
"Census Tract 6, Fresno County, California",5168,1064,06019000600
"Census Tract 57, San Diego County, California",1612,16,06073005700
"Census Tract 57, Kern County, California",2906,16,06029005700
"Census Tract 57, Ventura County, California",3776,16,06111005700
"Census Tract 186.11, San Diego County, California",9606,7,06073018611
"Census Tract 5026.01, Los Angeles County, California",6855,1,06037502601
"Census Tract 5026.01, Santa Clara County, California",2691,1,06085502601
"Census Tract 45.03, San Bernardino County, California",3658,5,06071004503
"Census Tract 45.03, Ventura County, California",4918,5,06111004503
"Census Tract 45.03, Fresno County, California",5111,5,06019004503
"Census Tract 39, San Bernardino County, California",5934,1260,06071003900
"Census Tract 39, San Joaquin County, California",1528,1260,06077003900
"Census Tract 39, Fresno County, California",6113,1260,06019003900
"Census Tract 39, Ventura County, California",7272,1260,06111003900
"Census Tract 39, Sacramento County, California",3372,1260,06067003900
"Census Tract 39, Kern County, California",2397,1260,06029003900
"Census Tract 56, San Bernardino County, California",6825,171,06071005600
"Census Tract 56, Ventura County, California",10226,171,06111005600
"Census Tract 56, Kern County, California",2312,171,06029005600
"Census Tract 56, San Diego County, California",4549,171,06073005600
"Census Tract 84.01, San Bernardino County, California",10445,31,06071008401
"Census Tract 84.01, Fresno County, California",8802,31,06019008401
"Census Tract 84.01, Ventura County, California",5233,31,06111008401
"Census Tract 74.03, San Bernardino County, California",7324,24,06071007403
"Census Tract 74.03, Sacramento County, California",5343,24,06067007403
"Census Tract 74.03, Ventura County, California",5842,24,06111007403
"Census Tract 65, San Bernardino County, California",8032,18,06071006500
"Census Tract 65, Ventura County, California",3720,18,06111006500
"Census Tract 65, Sacramento County, California",7056,18,06067006500
"Census Tract 65, San Diego County, California",3285,18,06073006500
"Census Tract 65, Kern County, California",4328,18,06029006500
"Census Tract 71.06, San Bernardino County, California",3972,3,06071007106
"Census Tract 71.06, Sacramento County, California",8415,3,06067007106
"Census Tract 72, San Bernardino County, California",6076,3,06071007200
"Census Tract 72, San Diego County, California",6082,3,06073007200
"Census Tract 78, San Bernardino County, California",5416,2,06071007800
"Census Tract 78, San Diego County, California",6179,2,06073007800
"Census Tract 78, Ventura County, California",4215,2,06111007800
"Census Tract 98, San Bernardino County, California",5163,40,06071009800
"Census Tract 98, Sacramento County, California",1525,40,06067009800
"Census Tract 100.09, San Bernardino County, California",3696,2,06071010009
"Census Tract 100.09, San Diego County, California",6918,2,06073010009
"Census Tract 2012, Napa County, California",4897,43,06055201200
"Census Tract 2012, Los Angeles County, California",2720,43,06037201200
"Census Tract 428, San Francisco County, California",2490,2,06075042800
"Census Tract 428, Riverside County, California",9156,2,06065042800
"Census Tract 234, San Francisco County, California",3663,3,06075023400
"Census Tract 234, Placer County, California",5391,3,06061023400
