NAME,pop,state,county,tract,geoid
"Census Tract 122, Monterey County, California",2621,06,053,012200,06053012200
"Census Tract 103.05, Monterey County, California",4644,06,053,010305,06053010305
"Census Tract 111.02, Monterey County, California",12103,06,053,011102,06053011102
"Census Tract 112.02, Monterey County, California",7326,06,053,011202,06053011202
"Census Tract 134, Monterey County, California",1596,06,053,013400,06053013400
"Census Tract 135, Monterey County, California",5099,06,053,013500,06053013500
"Census Tract 106.05, Monterey County, California",4791,06,053,010605,06053010605
"Census Tract 111.01, Monterey County, California",5837,06,053,011101,06053011101
"Census Tract 123.02, Monterey County, California",2089,06,053,012302,06053012302
"Census Tract 127, Monterey County, California",3527,06,053,012700,06053012700
"Census Tract 139, Monterey County, California",2434,06,053,013900,06053013900
"Census Tract 143.02, Monterey County, California",4319,06,053,014302,06053014302
"Census Tract 140, Monterey County, California",2557,06,053,014000,06053014000
"Census Tract 17, Monterey County, California",4087,06,053,001700,06053001700
"Census Tract 8, Monterey County, California",5743,06,053,000800,06053000800
"Census Tract 156, San Francisco County, California",3432,06,075,015600,06075015600
"Census Tract 102, San Francisco County, California",4299,06,075,010200,06075010200
"Census Tract 108, San Francisco County, California",4860,06,075,010800,06075010800
"Census Tract 331, San Francisco County, California",3861,06,075,033100,06075033100
"Census Tract 402, San Francisco County, California",5541,06,075,040200,06075040200
"Census Tract 3400.02, Contra Costa County, California",7595,06,013,340002,06013340002
"Census Tract 3430.01, Contra Costa County, California",4499,06,013,343001,06013343001
"Census Tract 3461.02, Contra Costa County, California",5574,06,013,346102,06013346102
"Census Tract 3470, Contra Costa County, California",6206,06,013,347000,06013347000
"Census Tract 3530.01, Contra Costa County, California",3880,06,013,353001,06013353001
"Census Tract 3560.01, Contra Costa County, California",4480,06,013,356001,06013356001
"Census Tract 3660.01, Contra Costa County, California",4540,06,013,366001,06013366001
"Census Tract 3750, Contra Costa County, California",4617,06,013,375000,06013375000
"Census Tract 3010, Contra Costa County, California",4782,06,013,301000,06013301000
"Census Tract 3072.01, Contra Costa County, California",3785,06,013,307201,06013307201
"Census Tract 3100, Contra Costa County, California",6078,06,013,310000,06013310000
"Census Tract 3131.02, Contra Costa County, California",4310,06,013,313102,06013313102
"Census Tract 3212, Contra Costa County, California",5494,06,013,321200,06013321200
"Census Tract 3300, Contra Costa County, California",5655,06,013,330000,06013330000
"Census Tract 3361.01, Contra Costa County, California",5560,06,013,336101,06013336101
"Census Tract 3372, Contra Costa County, California",8407,06,013,337200,06013337200
"Census Tract 3373, Contra Costa County, California",5940,06,013,337300,06013337300
"Census Tract 3592.03, Contra Costa County, California",7304,06,013,359203,06013359203
"Census Tract 3700, Contra Costa County, California",2814,06,013,370000,06013370000
"Census Tract 3860, Contra Costa County, California",3666,06,013,386000,06013386000
"Census Tract 3891, Contra Costa County, California",2196,06,013,389100,06013389100
"Census Tract 3892, Contra Costa County, California",1868,06,013,389200,06013389200
"Census Tract 3050, Contra Costa County, California",6106,06,013,305000,06013305000
"Census Tract 3120, Contra Costa County, California",2352,06,013,312000,06013312000
"Census Tract 3072.05, Contra Costa County, California",7276,06,013,307205,06013307205
"Census Tract 3141.04, Contra Costa County, California",9047,06,013,314104,06013314104
"Census Tract 3150, Contra Costa County, California",3762,06,013,315000,06013315000
"Census Tract 3200.01, Contra Costa County, California",3843,06,013,320001,06013320001
"Census Tract 3080.01, Contra Costa County, California",7534,06,013,308001,06013308001
"Census Tract 3142, Contra Costa County, California",7323,06,013,314200,06013314200
"Census Tract 80.08, Sacramento County, California",4893,06,067,008008,06067008008
"Census Tract 80.10, Sacramento County, California",5007,06,067,008010,06067008010
"Census Tract 70.04, Sacramento County, California",7814,06,067,007004,06067007004
"Census Tract 70.07, Sacramento County, California",5722,06,067,007007,06067007007
"Census Tract 84.02, Sacramento County, California",5394,06,067,008402,06067008402
"Census Tract 81.22, Sacramento County, California",3484,06,067,008122,06067008122
"Census Tract 6030, San Mateo County, California",4427,06,081,603000,06081603000
"Census Tract 6096.01, San Mateo County, California",3300,06,081,609601,06081609601
"Census Tract 6098, San Mateo County, California",4673,06,081,609800,06081609800
"Census Tract 6108, San Mateo County, California",5013,06,081,610800,06081610800
"Census Tract 6109, San Mateo County, California",7100,06,081,610900,06081610900
"Census Tract 6118, San Mateo County, California",4369,06,081,611800,06081611800
"Census Tract 6126, San Mateo County, California",4692,06,081,612600,06081612600
"Census Tract 6132, San Mateo County, California",6868,06,081,613200,06081613200
"Census Tract 6134, San Mateo County, California",3137,06,081,613400,06081613400
"Census Tract 6137, San Mateo County, California",9041,06,081,613700,06081613700
"Census Tract 6083, San Mateo County, California",3715,06,081,608300,06081608300
"Census Tract 6093, San Mateo County, California",3636,06,081,609300,06081609300
"Census Tract 6127, San Mateo County, California",2245,06,081,612700,06081612700
"Census Tract 6129, San Mateo County, California",4770,06,081,612900,06081612900
"Census Tract 6133, San Mateo County, California",3026,06,081,613300,06081613300
"Census Tract 6136, San Mateo County, California",6491,06,081,613600,06081613600
"Census Tract 6087, San Mateo County, California",7153,06,081,608700,06081608700
"Census Tract 6096.03, San Mateo County, California",5432,06,081,609603,06081609603
"Census Tract 6119, San Mateo County, California",10333,06,081,611900,06081611900
"Census Tract 6128, San Mateo County, California",3606,06,081,612800,06081612800
"Census Tract 6018, San Mateo County, California",7169,06,081,601800,06081601800
"Census Tract 6008, San Mateo County, California",7410,06,081,600800,06081600800
"Census Tract 6012, San Mateo County, California",7126,06,081,601200,06081601200
"Census Tract 6026, San Mateo County, California",8195,06,081,602600,06081602600
"Census Tract 6031, San Mateo County, California",3482,06,081,603100,06081603100
"Census Tract 6045, San Mateo County, California",3886,06,081,604500,06081604500
"Census Tract 6060, San Mateo County, California",5284,06,081,606000,06081606000
"Census Tract 6067, San Mateo County, California",2520,06,081,606700,06081606700
"Census Tract 6070, San Mateo County, California",3533,06,081,607000,06081607000
"Census Tract 6071, San Mateo County, California",3160,06,081,607100,06081607100
"Census Tract 6075, San Mateo County, California",5373,06,081,607500,06081607500
"Census Tract 4415.01, Alameda County, California",6570,06,001,441501,06001441501
"Census Tract 4047, Alameda County, California",2079,06,001,404700,06001404700
"Census Tract 4425, Alameda County, California",7748,06,001,442500,06001442500
"Census Tract 4503, Alameda County, California",5301,06,001,450300,06001450300
"Census Tract 4506.07, Alameda County, California",5971,06,001,450607,06001450607
"Census Tract 4049, Alameda County, California",3973,06,001,404900,06001404900
"Census Tract 4052, Alameda County, California",5188,06,001,405200,06001405200
"Census Tract 4063, Alameda County, California",4425,06,001,406300,06001406300
"Census Tract 4001, Alameda County, California",3115,06,001,400100,06001400100
"Census Tract 4008, Alameda County, California",3792,06,001,400800,06001400800
"Census Tract 4010, Alameda County, California",6024,06,001,401000,06001401000
"Census Tract 133.08, San Diego County, California",3497,06,073,013308,06073013308
"Census Tract 133.09, San Diego County, California",6520,06,073,013309,06073013309
"Census Tract 134.10, San Diego County, California",7911,06,073,013410,06073013410
"Census Tract 134.18, San Diego County, California",6629,06,073,013418,06073013418
"Census Tract 135.04, San Diego County, California",3711,06,073,013504,06073013504
"Census Tract 136.01, San Diego County, California",5418,06,073,013601,06073013601
"Census Tract 139.03, San Diego County, California",4243,06,073,013903,06073013903
"Census Tract 139.07, San Diego County, California",4417,06,073,013907,06073013907
"Census Tract 146.02, San Diego County, California",5471,06,073,014602,06073014602
"Census Tract 148.03, San Diego County, California",5074,06,073,014803,06073014803
"Census Tract 157.01, San Diego County, California",6405,06,073,015701,06073015701
"Census Tract 166.17, San Diego County, California",3491,06,073,016617,06073016617
"Census Tract 168.10, San Diego County, California",3100,06,073,016810,06073016810
"Census Tract 168.11, San Diego County, California",4826,06,073,016811,06073016811
"Census Tract 170.14, San Diego County, California",2475,06,073,017014,06073017014
"Census Tract 170.19, San Diego County, California",6402,06,073,017019,06073017019
"Census Tract 170.32, San Diego County, California",15878,06,073,017032,06073017032
"Census Tract 170.37, San Diego County, California",5776,06,073,017037,06073017037
"Census Tract 171.06, San Diego County, California",4786,06,073,017106,06073017106
"Census Tract 176.01, San Diego County, California",5515,06,073,017601,06073017601
"Census Tract 1, San Diego County, California",3250,06,073,000100,06073000100
"Census Tract 6, San Diego County, California",3446,06,073,000600,06073000600
"Census Tract 120.03, San Diego County, California",3510,06,073,012003,06073012003
"Census Tract 132.03, San Diego County, California",6351,06,073,013203,06073013203
"Census Tract 132.04, San Diego County, California",3938,06,073,013204,06073013204
